,files,tp_cost,tp_fields,tp_list,tp_name,tp_name_check,tp_no_centres,tp_states,tp_trainees
10,Aelis-Enterprise-Learning-Implementation-Pvt-Ltd.pdf,,,,Aelis-Enterprise-Learning-Implementation-Pvt-Ltd.pdf,,,,
11,AlmaMate.pdf,,,,AlmaMate.pdf,,,,
12,Ambuja-Cement-Foundation.pdf,N A,"Auto & Auto Components, Beauty & Wellness, Capital Goods, Construction, Electronics & IT Hardware, Furniture & Furnishings, Healthcare, Hospitality, IT/ITES, Organized Retail,  General Manufacturing, Security Services, Textiles & apparel, & Transportation & Logistics","1          Ambuja Cement Foundation Proposing Organization  Ambuja Cement Foundation Implementing Agency  Ambuja Cement Foundation No. of Trainees in 10 years  1,00,411 No. of Centres 14 centers Location(s) N A Sectors Targeted Auto & Auto Components, Beauty & Wellness, Capital Goods, Construction, Electronics & IT Hardware, Furniture & Furnishings, Healthcare, Hospitality, IT/ITES, Organized Retail,  General Manufacturing, Security Services, Textiles & apparel, & Transportation & Logistics Project Cost  Rs. N A Revenue Model Student Fees Funding from state Government projects CSR Funding of Ambuja Cement  Proposal Summary ",Ambuja Cement Foundation,Ambuja Cement Foundation Implementing Agency  Ambuja Cement Foundation,14,N A,"1,00,411"
13,Anuna.pdf,4.99Crore,"Entrepreneurship, Rural Enterprise& Small Business Development, BFSI, Back Office Professional Services","1Anuna Vocation & Career Development NetworkProposingOrganizationAnunaEducation NetworkImplementingAgencyAnunaEducation Network Private LimitedNo. of Trainees in 10 years 1,10,668  in 10 yearsNo. of Centres51 centers(Self-owned -29 & Franchisee 22)Location(s)UttarPradesh, UttarakhandSectors TargetedEntrepreneurship, Rural Enterprise& Small Business Development, BFSI, Back Office Professional ServicesProject Cost Rs. 4.99CroreSourcingof traineesNational, state and district marketing activitiesCanopy promotion in high concentration areasTV adsVisits to schools and colleges (drop out and current students)Industry events and fairsLocal industrial units (focusing on current work force)ReferralsAnunaalso plan to introduce self-help kiosks at local schools & cyber cafes offering self-learn and assisted teaching classes designed for on-boarding into higher level programs.Proposal Summary",Anuna Vocation & Career Development Network,AnunaEducation NetworkImplementingAgencyAnunaEducation Network Private Limited,51 (Self-owned -29 & Franchisee 22),"UttarPradesh, Uttarakhand","1,10,668"
14,Anytime-Learning.pdf,,,,Anytime-Learning.pdf,,,,
15,Arrina_Education_Services.pdf,NotAvailable.,"Electronicsand IT Hardware, Telecommunication, BFSI, OrganizedRetail, Auto and Auto Components, IT/Ites","9ArrinaEducation ServicesPvtLtd.ProposingOrganizationProposal SummaryProposingOrganizationArrinaEducation ServicesPvtLtd.ImplementingAgencyAn SBUArrinaEducation ServicesPvtLtd. (Talentedge)No. of Trainees in 10 years1,98,804No. of CentresNotAvailableLocation(s)PAN IndiaSectors TargetedElectronicsand IT Hardware, Telecommunication, BFSI, OrganizedRetail, Auto and Auto Components, IT/ItesProject Cost (Total)NotAvailable.RevenueModelRevenue based ona)Training Feesb)Franchisee Fees (30% of total turnover of franchisee partners asroyalty",ArrinaEducation ServicesPvtLtd.,Access Livelihoods Consulting India Private LimitedImplementingAgencyAccess Livelihoods Consulting India Private Limited,NotAvailable,PAN India,"1,98,804"
16,AscensiveEducare.pdf,,,,AscensiveEducare.pdf,,,,
17,Asian-Paints.pdf,,,,Asian-Paints.pdf,,,,
18,AssocomIndiaPvtLtd_1.pdf,4.9 Crore,"Bakery Science/Technology, Craft, Patisseries, Flour Milling etc.","   1  Assocom  India Private Limited    Proposal Summary  Proposing Organization Assocom  India Private Limited  Implementing Agency Assocom  India Private Limited   No. of Trainees in 10 years 110,127  in 10 years  No. of Centres 27 centers (Self-owned  5, Franchisee  4 and 18 tie-up centres)  Location(s) PAN India  Sectors Targeted Bakery Science/Technology, Craft, Patisseries, Flour Milling etc.  Project Cost Rs 4.9 Crore  Business Model Training fee and franchisee fee  Sourcing of trainees  StudentTMs admission through consultants and general promotion  Training of Industry partners, existing employee/workers and their family  Student of class XI  XII from CBSE schools   Further, road shows, advertisements and orientation lectures would be conducted to create awareness of courses and employment opportunities in the sector. A lot of emphasis would be laid on counselling at every step ",1  Assocom  India Private Limited    Proposal Summary,Assocom  India Private Limited  Implementing Agency Assocom  India Private Limited,"27  (Self-owned  5, Franchisee  4 and 18 tie-up )",PAN India,"1,10,127"
19,Big Concepts Foundation Pvt. Ltd (JCRE Skill Solutions).pdf,3.03Cr.,"Building and Construction, Textiles & Clothing, Beauty & Wellness,Organized Retail, IT and ITES, BFSI, Tourism & Hospitality Services","3Big Concepts FoundationPvt.Ltd(JCRE Skill Solutions)Proposal SummaryProposingOrganizationBig Concepts FoundationPvt.Ltd (JCRE Skill Solutions)ImplementingAgencyBig Concepts FoundationPvt.Ltd (JCRE Skill Solutions)No. of Trainees in 10 years71,622No. of Centres13centersLocation(s)Manipur (10) : (Thangmeiband,Sekmai,Canchipur,Lamlong, Airportroad,Uripok,Thoubal,Churachandpur,Moirang,Kakching)Nagaland (2) :Kohima,DimapurMizoram (1):AizwalSectors TargetedBuilding and Construction, Textiles & Clothing, Beauty & Wellness,Organized Retail, IT and ITES, BFSI, Tourism & Hospitality ServicesProject Cost (Total)Rs. 3.03Cr.SourcingModelJCRE will partner with local clubs,panchayats, schools, colleges andother organization  in creating awareness, mobilization and selection ofstudents.There will be a special team for mobilizing the candidates. The teamwill conduct counseling camps and session at various locations.JCRE will pre-assess the candidates for suitability for attending thetraining program bases on the selection framework and share shortlistof potential candidates who may be interviewed.",Big Concepts FoundationPvt.Ltd(JCRE Skill Solutions)Proposal Summary,Big Concepts FoundationPvt.Ltd (JCRE Skill Solutions)ImplementingAgencyBig Concepts FoundationPvt.Ltd (JCRE Skill Solutions),13,"Manipur (10) : (Thangmeiband,Sekmai,Canchipur,Lamlong, Airportroad,Uripok,Thoubal,Churachandpur,Moirang,Kakching)Nagaland (2) :Kohima,DimapurMizoram (1):Aizwal","71,622"
20,Big-Animation-India-Pvt-Ltd.pdf,"2,50,00,000","Animation, Visual Effects, Gaming, Graphics & Design,","1     Big Animation India Pvt. Ltd. (RELIACE AIMS) Proposing Organization Big Animation India Pvt. Ltd. (RELIACE AIMS) Implementing Agency Big Animation India Pvt. Ltd. (RELIACE AIMS) No. of Trainees in 10 years  50,476 No. of Centres 58 centers Location(s) Bihar, Chhattisgarh, Madhya Pradesh, West Bengal, Jharkhand, Delhi, Uttar Pradesh, Haryana, Jammu & Kashmir, Andhra Pradesh, Karnataka, Kerala, Tamil Nadu, Gujarat, Goa, Maharashtra & Rajasthan Sectors Targeted Animation, Visual Effects, Gaming, Graphics & Design, Project Cost  Rs. 2,50,00,000    Sourcing Model The mobilization of trainees is a joint effort between the franchisee and Reliance ALMS. Reliance AIMS is responsible for national brand building through nationalized marketing campaigns. They advertise on platforms such as Animation express, Shiksha.com and newspapers, Apart from this the company conducts several seminars either on a standalone basic or at events hosted by a third party such as times Boutique. The franchisee is responsible for the local marketing activity for which the marketing collateral is supplied by Reliance AIMS Enrolment of franchisees  Reliance AIMS has a tie up with Franchise India, and the marketing team activity generates leads. There are also some cases of referrals from existing franchisees/students Proposal Summary ",Big Animation India Pvt. Ltd. (RELIACE AIMS),Big Animation India Pvt. Ltd. (RELIACE AIMS) Implementing Agency Big Animation India Pvt. Ltd. (RELIACE AIMS),58,"Bihar, Chhattisgarh, Madhya Pradesh, West Bengal, Jharkhand, Delhi, Uttar Pradesh, Haryana, Jammu & Kashmir, Andhra Pradesh, Karnataka, Kerala, Tamil Nadu, Gujarat, Goa, Maharashtra & Rajasthan","50,476"
21,Biomed_Academy_LLP.pdf,4.79Cr,Healthcare,"4Biomed Academy LLPProposal SummaryProposingOrganizationBiomed Academy LLPImplementingAgencyBiomed Academy LLPNo. of Trainees in 10 years54,483No. of Centres8centersLocation(s)Sectors TargetedHealthcareProject Cost (Total)Rs. 4.79CrSourcingModel10+2 students shall be sourced for the training in the each ofthe 8 centers enlisted above. Sourcing of trainees would be theresponsibility of Biomed Academy andYashaswi.Students would be identified through advertisements in thelocal newspapers and electronic media.Biomed Academy proposes to organize job fairs in mostly theinterior locations and necessary support from NGOs shall betaken. Selection of students will be through written test andpersonal interview conducted by the academy.",Biomed Academy LLPProposal Summary,Biomed Academy LLPImplementingAgencyBiomed Academy LLP,8,,"54,483"
22,Brainware-Consulting.pdf,,,"WestBengal,Assam,Sikkim,Tripura,ArunachalPradesh,Manipur,Jharkhand,OdishaandMeghalayaMedia&Entertainment,Electronics&ITHardware,Security,OrganizedRetail",Brainware-Consulting.pdf,,,,
23,Britti_Prosikshan_Pvt_Ltd.pdf,1.40Cr,"ITES-BPO;Retail;Transportation,Logistics,WarehousingandPackagingBFSI;TourismandHospitalityPopulationSegment8th,10th,12thpassandGraduates","1BrittiProsikshanPvt.LtdSnapshotProposingOrganizationTechnable SolutionsPrivateLimitedImplementingAgencyBrittiProsikshanPvt.Ltd.(ATechnableGroupCompany)No.ofTraineesin10years0.1MnNo.ofCentres78Location(s)WestBengalSectorsTargetedITES-BPO;Retail;Transportation,Logistics,WarehousingandPackagingBFSI;TourismandHospitalityTargetedPopulationSegment8th,10th,12thpassandGraduatesProjectCostRs1.40CrBusinessModelStudentfeeandplacementfeedrivenmodelOperatingModelMarketingandawarenessthroughinformationkiosksanddeliveryoftrainingvideoclipstostudentsviakiosksTrainingconductedbyLocalTrainingPartnersand5 ownedcentersbyTechnable,AssessmentandMonitoringbyTechnableSolutionPrivateLimitedKeyStrengthsoftheProposal/Proposal OwnerTechnablehasbeenimpartingSoftSkillsandBasiccomputertrainingforemployabilityenhancementinServicesSectorsince2004.Trainedaround5,000students,placed4,000studentsincompaniessuchasIBMDaksh,FirstSource,Wipro,IndiaInfoline,AircelEmpanelledasTrainingProviderbyDirectorateofEmployment,Dept.ofLabour,GovernmentofWestBengalEmpanelledbytheStateUrbanDevelopmentAgencyfortrainingin126municipalitiesinWBundertheSJSRYschemeSetupCenterof ExcellenceforIT/ITeSAssessmentandTraining(CEIAT)inassociationwithDepartmentofIT,Govt.ofWB",BrittiProsikshanPvt.LtdSnapshot,Technable SolutionsPrivateLimitedImplementingAgencyBrittiProsikshanPvt.Ltd.(ATechnableGroupCompany),78,WestBengal,0.1Mn
24,CAIT-Edusys-Private-Limited.pdf,"45,00,000","Organized Retail, Telecom, Healthcare, Gems & Jewellery","1              CAIT Edusys  Private Limited Proposing Organization  CAIT Edusys  Private Limited Implementing Agency  CAIT Edusys  Private Limited No. of Trainees in 10 years  77,520 No. of Centres 12 centers Location(s) Jalgaon, Nasik, Aurangabad, Nagpur, Sholapur, Kankan, Vadodara, Goa, Ahmedabad & Indore. Sectors Targeted Organized Retail, Telecom, Healthcare, Gems & Jewellery Project Cost  Rs. 45,00,000 Sourcing Model Mobilization of students will be primary responsibility of franchise partners managing training centers. CAIT will assist franchisee centers with its corporate-level promotional and brand building efforts. Role of Franchise Partners: franchise Partners will be responsible for ground level mobilization in their catchment area for which they will be appointing resources. Role of CAIT will be responsible for mobilization of trainees in the centers managed by them. It will also drive corporate-level promotional and brand building efforts. Proposal Summary ",CAIT Edusys  Private Limited,CAIT Edusys  Private Limited Implementing Agency  CAIT Edusys  Private Limited,12,"Jalgaon, Nasik, Aurangabad, Nagpur, Sholapur, Kankan, Vadodara, Goa, Ahmedabad & Indore.","77,520"
25,CEDMAP.pdf,12.25Cr,"Textiles& Garments, Healthcare Services, Electronics Hardware,Building Hardware and Home Furnishing","5Centreof Entrepreneurship Development,Madhya Pradesh (CEDMAP)Proposal SummaryProposingOrganizationCentreof Entrepreneurship Development, Madhya PradeshImplementingAgencyCentreof Entrepreneurship Development, Madhya PradeshNo. of Trainees in 10 years1,89,915No. of Centres75centersLocation(s)Sectors TargetedTextiles& Garments, Healthcare Services, Electronics Hardware,Building Hardware and Home FurnishingProject Cost (Total)Rs. 12.25CrSourcingModelAdvertisements in print mediaGram/JanpadpanchayatsLocal channelsExisting collaborationsMouth to mouth publicity","Centreof Entrepreneurship Development,Madhya Pradesh (CEDMAP)Proposal Summary","Centreof Entrepreneurship Development, Madhya PradeshImplementingAgencyCentreof Entrepreneurship Development, Madhya Pradesh",75,,"1,89,915"
26,CIDC.pdf,13.5 Crores,Construction,"1 Construction Industry Development Council Proposing Organization Construction Industry Development Council Implementing Agency Construction Industry Development Council No. of Trainees in 10 years  2,02,000  in 10 years No. of Centres 24 centers  Structure of Centre Centre owned by self as well as those provided by State Government and PSUs will be used for training Location(s) PAN India Sectors Targeted Construction Project Cost  Rs. 13.5 Crores Revenue Model Training fee from individuals, State Governments and Corporates Sourcing of trainees The sourcing strategy includes the following mediums  -Paper and Media Advertisement campaign -Word of mouth -Interaction with the village panchayat Proposal Summary ",Construction Industry Development Council,Construction Industry Development Council Implementing Agency Construction Industry Development Council,24   Structure of Centre Centre owned by self as well as those provided by State Government and PSUs will be used for training,PAN India,"2,02,000"
27,CSC e-Governance Services India Limited.pdf,,,"1 CSC e-Governance Services India Limited Proposing Organization CSC e-Governance Services India Limited Implementing Agency CSC e-Governance Services India Limited Objective of the Project To create Digital Training Content on Basic Automobile Repair (Assistant Motorcycle Mechanic Course) and skill 200 rural candidates through 21 CSC Village Level Entrepreneur (VLE) using National Fibre Optic Network (NFON)  No. of Centres 21 Location(s) Primarily focusing on 3 locations i.e. in the States of Tripura, Andhra Pradesh and Rajasthan Sectors Targeted Automobile Project Cost  Rs 20 Lakh Revenue Model Fee Based Sourcing of trainees Sourcing of trainees will be the responsibility of the Village Level Entrepreneurs Proposal Summary ",CSC e-Governance Services India Limited.pdf,,,,
28,Cap-Workforce-Development-Institute(CAP-WDI).pdf,"9,18,00,475","Auto & auto, components, Hospitality Services, Healthcare Services,  Electrical and Electronics, Retail, IT, BFSI","1        Cap Workforce Development Institute (CAP WDI) Proposing Organization Cap Workforce Development Institute (CAP WDI) Implementing Agency Cap Workforce Development Institute (CAP WDI) No. of Trainees in 10 years  5,12,365 No. of Centres 50 centers Location(s) Andhra Pradesh, Tamil Nadu, Uttar Pradesh, Haryana, Rajasthan, Chhattisgarh, Bihar, Jharkhand, Gujarat, Delhi, Maharashtra, Karnataka, UP, Chandigarh, Goa, J&K, Odisha, MP, Sectors Targeted Auto & auto, components, Hospitality Services, Healthcare Services,  Electrical and Electronics, Retail, IT, BFSI   Project Cost     Rs.  9,18,00,475  Sourcing Model Two pronged strategy- Individual level and corporate level Graduates/ post graduates with a minimum experience of 1 year in their respective domains/ sectors 50 Centers to be rented, currently 3 centers are operational, and locations for further remaining centers have been finalized.  Proposal Summary ",Cap Workforce Development Institute (CAP WDI),Cap Workforce Development Institute (CAP WDI) Implementing Agency Cap Workforce Development Institute (CAP WDI),50,"Andhra Pradesh, Tamil Nadu, Uttar Pradesh, Haryana, Rajasthan, Chhattisgarh, Bihar, Jharkhand, Gujarat, Delhi, Maharashtra, Karnataka, UP, Chandigarh, Goa, J&K, Odisha, MP,","5,12,365"
29,Chitkara-College-Sales-Retail-Marketing.pdf,93.5Lakhs,"OrganizedRetail, Media & Entertainment, Healthcare,Educational & Skill Development, Telecom Services","10ChitkaraCollege of Sales andRetail MarketingProposal SummaryProposingOrganizationChitkaraCollege of Sales and Retail MarketingImplementingAgencyChitkaraCollege of Sales and Retail MarketingNo. of Trainees in 10 years51,450No. of Centres9CentresLocation(s)Chandigarh, Himachal, Punjab, HaryanaSectors TargetedOrganizedRetail, Media & Entertainment, Healthcare,Educational & Skill Development, Telecom ServicesProject Cost (Total)93.5LakhsSourcingModelApplicant has proposed  a student mobilization strategy  with focus  on:Pre-admission need  assessment  through counselingTo  identify thegaps in the student and to recommend a suitable course  to the student.Organization Program-An orientation program on various industrymanpower needs to identify key skill-set of the students.Induction ProgramTo identify the student on the basis ofAcademicqualification, skill set, nature, attitude, aptitude.Applicant has claimed to be in process of collaboration with several governmentschools, colleges, and various  NGOs for carrier,  counseling  and training.Applicant has proposed to engage  with financial institution like State Bank ofIndia, UCO Bank,  Punjab National Bank, Punjab & Sind Bank & Private BanksLike,Kotak, HDFC,Cedilaetc. to help the students to avail educational loans atcheaper rate of interest.",0ChitkaraCollege of Sales andRetail MarketingProposal Summary,ChitkaraCollege of Sales and Retail MarketingImplementingAgencyChitkaraCollege of Sales and Retail Marketing,9,"Chandigarh, Himachal, Punjab, Haryana","51,450"
30,Cinema_Vision.pdf,,,"1Future India: The Creative Skills & Innovations Reality ShowProposingOrganizationCinema Vision IndiaImplementingAgencyCinema Vision India in association with itspartners-Creative Team-Production Team-Network 1 Media (Marketing Team)-Doordarshan(DD) (telecast partner)Project DurationTheinitiative is spread over multiple mediums (print, television, radio, social media and ground events) over 5 years.Project Cost Rs. 30.08CroreInnovation in the proposalThe Future India Show plans to bring for the first time on to Prime Time Television (40 episodes) a massive communication program that reaches a PAN-India audience creating aspirationsfor skill and fulfilling hopes of skill seekers, innovators and entrepreneurs alike in finding a better future.Revenue ModelIn the first year revenues are expected from marketing of commercial time in the show. However from the second year source of revenue include IPR marketing (re-sale, re-telecast and digital). And sponsorship (free commercial time)Proposal Summary",Cinema_Vision.pdf,,,,
31,Cradle Life Sciences Private Limited.pdf,1.79Cr,"LifeSciences, Health Care and Retail","6Cradle Life Sciences Private LimitedProposal SummaryProposingOrganizationCradleLife Sciences Private LimitedImplementingAgencyCradleLife Sciences Private LimitedNo. of Trainees in 10 years60,450No. of Centres26centersLocation(s)Sectors TargetedLifeSciences, Health Care and RetailProject Cost (Total)Rs. 1.79CrSourcingModelThe applicant will adopt a strategy to generate candidateinterest by way of distributing flyers, putting up banners in theirtarget market, conducting seminars in schools and colleges tocreate awareness in the candidates about the sector andavailable job opportunities.Target trainee segment includes school dropouts andgraduates",Cradle Life Sciences Private LimitedProposal Summary,CradleLife Sciences Private LimitedImplementingAgencyCradleLife Sciences Private Limited,26,,"60,450"
